original_article,cleaned_article,change_description,legal_violation_categories
《施工现场临时用电安全技术规范》第10.1.5条,《施工现场临时用电安全技术规范》,"截断后缀""第10.1.5条""",建设工程与房地产
《施工现场临时用电安全技术规范》第5.1.11条,《施工现场临时用电安全技术规范》,"截断后缀""第5.1.11条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.3条“每台用电设备必须有各自专用的开关箱”强制性条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.3条“每台用电设备必须有各自专...""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.3条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.3条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.1条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.1条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.17条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.17条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.16条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.16条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.14条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.14条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.13条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.13条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.12条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.12条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.11条（强制性条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.11条（强制性条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.11条第二款“PE线必须通过PE线端子板连接”强制性条,《施工现场临时用电安全技术规范》第8.1.11条第二款,"截断后缀""“PE线必须通过PE线端子板连接”强制性...""",建设工程与房地产
《施工现场临时用电安全技术规范》第10.3.2条,《施工现场临时用电安全技术规范》,"截断后缀""第10.3.2条""",建设工程与房地产
《施工现场临时用电安全技术规范》第7.2.3条,《施工现场临时用电安全技术规范》,"截断后缀""第7.2.3条""",建设工程与房地产
《施工现场临时用电安全技术规范》第5.3.2条,《施工现场临时用电安全技术规范》,"截断后缀""第5.3.2条""",建设工程与房地产
《施工现场临时用电安全技术规范》第5.2.1条,《施工现场临时用电安全技术规范》,"截断后缀""第5.2.1条""",建设工程与房地产
《施工现场临时用电安全技术规范》第5.1.3条,《施工现场临时用电安全技术规范》,"截断后缀""第5.1.3条""",建设工程与房地产
《施工现场临时用电安全技术规范》第5.1.1条（强制性条,《施工现场临时用电安全技术规范》,"截断后缀""第5.1.1条（强制性条""",建设工程与房地产
《施工现场临时用电安全技术规范》第5.1.1条,《施工现场临时用电安全技术规范》,"截断后缀""第5.1.1条""",建设工程与房地产
《施工现场临时用电安全技术规范》第8.1.11条(强制性条,《施工现场临时用电安全技术规范》,"截断后缀""第8.1.11条(强制性条""",建设工程与房地产
依据《建筑施工企业主要负责人、项,《建筑施工企业主要负责人、项,"去除前缀""依据""",建设工程与房地产
依据《建设工程安全生产管理条例》第五十七条,《建设工程安全生产管理条例》第五十七条,"去除前缀""依据""",建设工程与房地产
依据《建设工程施工许可管理办法》第十二条,《建设工程施工许可管理办法》第十二条,"去除前缀""依据""",建设工程与房地产
根据《建筑工程施工许可管理办法》第十二条、第十五条第一款,《建筑工程施工许可管理办法》第十二条、第十五条第一款,"去除前缀""根据""",建设工程与房地产
根据《建筑工程施工许可管理办法》第十二条,《建筑工程施工许可管理办法》第十二条,"去除前缀""根据""",建设工程与房地产
根据《广东省建设工程质量管理条例》第四十六条的规定,《广东省建设工程质量管理条例》第四十六条的规定,"去除前缀""根据""",建设工程与房地产
根据《广东省建设工程质量管理条例》第四十六条,《广东省建设工程质量管理条例》第四十六条,"去除前缀""根据""",建设工程与房地产
根据《危险性较大的部分项工程安全管理规定》第三十五条,《危险性较大的部分项工程安全管理规定》第三十五条,"去除前缀""根据""",建设工程与房地产
根据《危险性较大的分部分项工程安全管理规定》第三十五条第(二)项,《危险性较大的分部分项工程安全管理规定》第三十五条第(二)项,"去除前缀""根据""",建设工程与房地产
根据《建筑施工企业主要负责人、项,《建筑施工企业主要负责人、项,"去除前缀""根据""",建设工程与房地产
根据《危险性较大的分部分项工程安全管理规定》第三十七条第(一)项,《危险性较大的分部分项工程安全管理规定》第三十七条第(一)项,"去除前缀""根据""",建设工程与房地产
"《杭州市建设工程施工安全管理条例》第三十三条第（二）项,",《杭州市建设工程施工安全管理条例》第三十三条第（二）项,"截断后缀"",""",建设工程与房地产
根据《上海市建设工程材料管理条例》第二十五条第一款第(一)项,《上海市建设工程材料管理条例》第二十五条第一款第(一)项,"去除前缀""根据""",建设工程与房地产
根据《危险性较大分部分项工程安全管理规定》第二十九条第四款,《危险性较大分部分项工程安全管理规定》第二十九条第四款,"去除前缀""根据""",建设工程与房地产
根据《建设工程安全生产管理条例》第六十二条第(二)项,《建设工程安全生产管理条例》第六十二条第(二)项,"去除前缀""根据""",建设工程与房地产
根据《建设工程质量管理条例》第五十七条,《建设工程质量管理条例》第五十七条,"去除前缀""根据""",建设工程与房地产
根据《建设工程质量检测管理办法》第四十七条第三项,《建设工程质量检测管理办法》第四十七条第三项,"去除前缀""根据""",建设工程与房地产
《武汉市建设工程安全生产管理办法》第二十、二十一、二十二条,《武汉市建设工程安全生产管理办法》,"截断后缀""第二十、二十一、二十二条""",建设工程与房地产
根据《建设工程质量管理条例》第六十二条,《建设工程质量管理条例》第六十二条,"去除前缀""根据""",建设工程与房地产
根据《建设工程质量管理条例》第五十六条第四款,《建设工程质量管理条例》第五十六条第四款,"去除前缀""根据""",建设工程与房地产
根据《建设工程质量管理条例》第五十六条第一款第(四)项,《建设工程质量管理条例》第五十六条第一款第(四)项,"去除前缀""根据""",建设工程与房地产
根据《建设工程质量管理条例》第五十八条,《建设工程质量管理条例》第五十八条,"去除前缀""根据""",建设工程与房地产
依据《房地产开发企业资质管理规定》第二十四条,《房地产开发企业资质管理规定》第二十四条,"去除前缀""依据""",建设工程与房地产
依据《成都市建设施工现场管理条例》第四十五条第一款的规定,《成都市建设施工现场管理条例》第四十五条第一款的规定,"去除前缀""依据""",建设工程与房地产
依据《成都市建设施工现场管理条例》第四十五条第一款,《成都市建设施工现场管理条例》第四十五条第一款,"去除前缀""依据""",建设工程与房地产
依据《建设项目安全设施“三同时”监督管理办法》第三十条第一款,《建设项目安全设施“三同时”监督管理办法》第三十条第一款,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第六十四条规定,《建设工程质量管理条例》第六十四条,"去除前缀""依据""; 截断后缀""规定""",建设工程与房地产
依据《建设工程质量管理条例》第六十四条的规定,《建设工程质量管理条例》第六十四条的规定,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第六十四条,《建设工程质量管理条例》第六十四条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第六十五条,《建设工程质量管理条例》第六十五条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第六十二条第一款的规定,《建设工程质量管理条例》第六十二条第一款的规定,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第六十二条第一款,《建设工程质量管理条例》第六十二条第一款,"去除前缀""依据""",建设工程与房地产
依据《房地产开发企业资质管理规定》第十九条,《房地产开发企业资质管理规定》第十九条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第六十九条第一款的规定,《建设工程质量管理条例》第六十九条第一款的规定,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十六条第八项,《建设工程质量管理条例》第五十六条第八项,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十六条第一款第(四)项,《建设工程质量管理条例》第五十六条第一款第(四)项,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十六条第(六)项之规定,《建设工程质量管理条例》第五十六条第(六)项之规定,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十六条,《建设工程质量管理条例》第五十六条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十八条第一项,《建设工程质量管理条例》第五十八条第一项,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十八条第(一)项,《建设工程质量管理条例》第五十八条第(一)项,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十八条,《建设工程质量管理条例》第五十八条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十七条,《建设工程质量管理条例》第五十七条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条,《建设工程质量管理条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量检测管理办法》第三十条,《建设工程质量检测管理办法》第三十条,"去除前缀""依据""",建设工程与房地产
依据《建设工程质量管理条例》第五十六条第四款,《建设工程质量管理条例》第五十六条第四款,"去除前缀""依据""",建设工程与房地产
《杭州市建设工程文明施工管理规定》第三十三条第七项行政处罚决定:处人民币壹万元整罚款,《杭州市建设工程文明施工管理规定》第三十三条第七项,"截断后缀""行政处罚决定:处人民币壹万元整罚款""",建设工程与房地产
依照《建设工程质量管理条例》第五十六条,《建设工程质量管理条例》第五十六条,"去除前缀""依照""",建设工程与房地产
依据《重庆市建设工程安全生产管理办法》第四十二条第三项,《重庆市建设工程安全生产管理办法》第四十二条第三项,"去除前缀""依据""",建设工程与房地产
《江苏省房屋建筑和市政基础设施工程质量监督管理办法》第二十五条第一项、第二项、,《江苏省房屋建筑和市政基础设施工程质量监督管理办法》第二十五条第一项、第二项,"截断后缀""、""",建设工程与房地产
《江苏省房屋建筑和市政基础设施工程质量监督管理办法》第十九条第一项、,《江苏省房屋建筑和市政基础设施工程质量监督管理办法》第十九条第一项,"截断后缀""、""",建设工程与房地产
《江苏省房屋建筑和市政基础设施工程质量监督管理办法》第十九条第（一）项和,《江苏省房屋建筑和市政基础设施工程质量监督管理办法》第十九条第（一）项,"截断后缀""和""",建设工程与房地产
《房屋建筑和市政基础设施工程施工图设计文件审查管理办法》第二十四条规定,《房屋建筑和市政基础设施工程施工图设计文件审查管理办法》第二十四条,"截断后缀""规定""",建设工程与房地产
《建设工程质量管理条例》第十三条、,《建设工程质量管理条例》第十三条,"截断后缀""、""",建设工程与房地产
《建设工程质量管理条例》第十一条、,《建设工程质量管理条例》第十一条,"截断后缀""、""",建设工程与房地产
《建设工程质量管理条例》第六十四条“违反本条,《建设工程质量管理条例》第六十四条,"截断后缀""“违反本条""",建设工程与房地产
《建设工程质量管理条例》第六十五条：“违反本条,《建设工程质量管理条例》第六十五条,"截断后缀""：“违反本条""",建设工程与房地产
《建设工程质量管理条例》第六十二条规定“违反本条,《建设工程质量管理条例》第六十二条,"截断后缀""规定“违反本条""",建设工程与房地产
《建设工程质量管理条例》第六十二条规定,《建设工程质量管理条例》第六十二条,"截断后缀""规定""",建设工程与房地产
《建设工程质量管理条例》第六十二条第一款的规定对莘县第一建筑工程有限公司罚款,《建设工程质量管理条例》第六十二条第一款的规定,"截断后缀""对莘县第一建筑工程有限公司罚款""",建设工程与房地产
"《建设项目安全设施“三同时”监督管理办法》第七条,",《建设项目安全设施“三同时”监督管理办法》第七条,"截断后缀"",""",建设工程与房地产
《建设项目安全设施‘三同时’监督管理办法》第二十三条第一款“建设项,《建设项目安全设施‘三同时’监督管理办法》第二十三条第一款,"截断后缀""“建设项""",建设工程与房地产
《建设施工起重吊装安全技术规范》第3.0.5条,《建设施工起重吊装安全技术规范》,"截断后缀""第3.0.5条""",建设工程与房地产
"《建设工程质量管理条例》第十六条第三款,",《建设工程质量管理条例》第十六条第三款,"截断后缀"",""",建设工程与房地产
"《建设工程质量管理条例》第十六条第一款,",《建设工程质量管理条例》第十六条第一款,"截断后缀"",""",建设工程与房地产
《建设项目安全设施“三同时”监督管理办法》第七条第(一)项、第(二)项、第(三)项和第(四)项规定以外的建设项,《建设项目安全设施“三同时”监督管理办法》第七条第(一)项、第(二)项、第(三)项和第(四)项,"截断后缀""规定以外的建设项""",建设工程与房地产
《建设工程质量管理条例》第六十二条第一款“违反本条,《建设工程质量管理条例》第六十二条第一款,"截断后缀""“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十八条第一项:“违反本条,《建设工程质量管理条例》第五十八条第一项,"截断后缀"":“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十八条第(一)项“违反本条,《建设工程质量管理条例》第五十八条第(一)项,"截断后缀""“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十八条:“违反本条,《建设工程质量管理条例》第五十八条,"截断后缀"":“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十八条第一项“违反本条,《建设工程质量管理条例》第五十八条第一项,"截断后缀""“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十五条:“违反本条,《建设工程质量管理条例》第五十五条,"截断后缀"":“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十七条处工程价款处罚内容:(15235559元)1%罚款,《建设工程质量管理条例》第五十七条,"截断后缀""处工程价款处罚内容:(15235559元...""",建设工程与房地产
《建设工程质量管理条例》第五十七条和,《建设工程质量管理条例》第五十七条,"截断后缀""和""",建设工程与房地产
《建设工程质量管理条例》第五十七条、七十三条,《建设工程质量管理条例》第五十七条,"截断后缀""、七十三条""",建设工程与房地产
《建设工程质量管理条例》第五十七条“违反本条,《建设工程质量管理条例》第五十七条,"截断后缀""“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十七条:“违反本条,《建设工程质量管理条例》第五十七条,"截断后缀"":“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十七条(违反本条,《建设工程质量管理条例》第五十七条,"截断后缀""(违反本条""",建设工程与房地产
依据《上海市建设工程材料管理条例》第二十五条第一款第(一)项,《上海市建设工程材料管理条例》第二十五条第一款第(一)项,"去除前缀""依据""",建设工程与房地产
《建设工程质量管理条例》第五十八条第一项违反本条,《建设工程质量管理条例》第五十八条第一项,"截断后缀""违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十六条第六款规定:违反本条,《建设工程质量管理条例》第五十六条第六款,"截断后缀""规定:违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十六条第(六)项“违反本条,《建设工程质量管理条例》第五十六条第(六)项,"截断后缀""“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十八条：“违反本条,《建设工程质量管理条例》第五十八条,"截断后缀""：“违反本条""",建设工程与房地产
《建设工程质量管理条例》第五十八条第（一）项“违反本条,《建设工程质量管理条例》第五十八条第（一）项,"截断后缀""“违反本条""",建设工程与房地产
"《建设工程质量管理条例》第五十八条第（一）项,",《建设工程质量管理条例》第五十八条第（一）项,"截断后缀"",""",建设工程与房地产
《成都市建设施工现场管理条例》第四十五条第二款“违反本条例规定,《成都市建设施工现场管理条例》第四十五条第二款,"截断后缀""“违反本条例规定""",建设工程与房地产
《成都市建设施工现场管理条例》第四十五条第一款规定作出行政处罚:罚款,《成都市建设施工现场管理条例》第四十五条第一款,"截断后缀""规定作出行政处罚:罚款""",建设工程与房地产
《房地产开发企业资质管理规定》第十五条规定,《房地产开发企业资质管理规定》第十五条,"截断后缀""规定""",建设工程与房地产
"《建设项目安全设施三同时监督管理办法》第十五条第（一）项,",《建设项目安全设施三同时监督管理办法》第十五条第（一）项,"截断后缀"",""",建设工程与房地产
《建设项目安全设施“三同时”监督管理办法》第十四条第一款第二项：建设项,《建设项目安全设施“三同时”监督管理办法》第十四条第一款第二项,"截断后缀""：建设项""",建设工程与房地产
《建设项目安全设施“三同时”监督管理办法》第三十条规定给予该公司作出责令限期整改并处罚款,《建设项目安全设施“三同时”监督管理办法》第三十条,"截断后缀""规定给予该公司作出责令限期整改并处罚款""",建设工程与房地产
《建设项目管理条例》第二十八条“违反本条例规定,《建设项目管理条例》第二十八条,"截断后缀""“违反本条例规定""",建设工程与房地产
《成都市市政工程设施管理条例》第五十七条:“违反本条,《成都市市政工程设施管理条例》第五十七条,"截断后缀"":“违反本条""",建设工程与房地产
《建设项目管理条例》第二十条和二十三条,《建设项目管理条例》第二十条,"截断后缀""和二十三条""",建设工程与房地产
《建设项目管理条例》第二十条“建设项目竣工后,《建设项目管理条例》第二十条,"截断后缀""“建设项目竣工后""",建设工程与房地产
《山东省房屋建筑和市政工程质量监督管理办法》第四十九条(一)规定,《山东省房屋建筑和市政工程质量监督管理办法》第四十九条(一),"截断后缀""规定""",建设工程与房地产
《山东省房屋建筑和市政工程质量监督管理办法》第四十六条（一）之规定作出罚款,《山东省房屋建筑和市政工程质量监督管理办法》第四十六条（一）之规定,"截断后缀""作出罚款""",建设工程与房地产
《山东省房屋建筑和市政工程质量监督管理办法》第五十条(三)规定,《山东省房屋建筑和市政工程质量监督管理办法》第五十条(三),"截断后缀""规定""",建设工程与房地产
《福建省建设工程监理文件管理规程》第7.3.1条,《福建省建设工程监理文件管理规程》,"截断后缀""第7.3.1条""",建设工程与房地产
《山东省房屋建筑和市政工程质量监督管理办法》第五十五条第三项之相关规定,《山东省房屋建筑和市政工程质量监督管理办法》第五十五条第三项,"截断后缀""之相关规定""",建设工程与房地产
《自动喷水灭火系统施工及验收规范》第5.2.1条,《自动喷水灭火系统施工及验收规范》,"截断后缀""第5.2.1条""",建设工程与房地产
《关于浙江中库科技有限公司建设项目办理不动产权证的办前联合公告》第004号)文件,《关于浙江中库科技有限公司建设项目办理不动产权证的办前联合公告》第004号,"截断后缀"")文件""",建设工程与房地产
《甘肃省建设工程质量和建设工程安全生产管理条例》第五十条“违反本条,《甘肃省建设工程质量和建设工程安全生产管理条例》第五十条,"截断后缀""“违反本条""",建设工程与房地产
《屋面工程质量验收规范》第6.2.11条,《屋面工程质量验收规范》,"截断后缀""第6.2.11条""",建设工程与房地产
"《安徽省建设工程安全生产管理办法》第二十三条第(一)项和第(七)项,",《安徽省建设工程安全生产管理办法》第二十三条第(一)项和第(七)项,"截断后缀"",""",建设工程与房地产
"《安徽省建设工程安全生产管理办法》第二十三条第(二)、(七)、(八)项,",《安徽省建设工程安全生产管理办法》第二十三条第(二)、(七)、(八)项,"截断后缀"",""",建设工程与房地产
《海南经济特区土地管理条例》第七十九条第一项、,《海南经济特区土地管理条例》第七十九条第一项,"截断后缀""、""",建设工程与房地产
《电气装置安装工程接地装置施工及验收规范》第3.0.4条,《电气装置安装工程接地装置施工及验收规范》,"截断后缀""第3.0.4条""",建设工程与房地产
《电气装置安装工程接地装置施工及验收规范》第3.0.4项,《电气装置安装工程接地装置施工及验收规范》,"截断后缀""第3.0.4项""",建设工程与房地产
《电气装置安装工程接地装置施工及验收规范》第4.2.9条,《电气装置安装工程接地装置施工及验收规范》,"截断后缀""第4.2.9条""",建设工程与房地产
《建筑基坑工程监测技术标准》第9.0.3条,《建筑基坑工程监测技术标准》,"截断后缀""第9.0.3条""",建设工程与房地产
《建筑基坑工程监测技术标准》第8.0.8条,《建筑基坑工程监测技术标准》,"截断后缀""第8.0.8条""",建设工程与房地产
《建筑基坑工程监测技术标准》第4.2.1条,《建筑基坑工程监测技术标准》,"截断后缀""第4.2.1条""",建设工程与房地产
《建筑基坑工程监测技术规范》第3.0.1条,《建筑基坑工程监测技术规范》,"截断后缀""第3.0.1条""",建设工程与房地产
《建筑地基基础工程施工质量验收规范》第9.5.2条,《建筑地基基础工程施工质量验收规范》,"截断后缀""第9.5.2条""",建设工程与房地产
《建筑基坑工程监测技术规范》第4.1.3条,《建筑基坑工程监测技术规范》,"截断后缀""第4.1.3条""",建设工程与房地产
《建筑基坑工程监测技术规范》第4.2.1条,《建筑基坑工程监测技术规范》,"截断后缀""第4.2.1条""",建设工程与房地产
"《建设工程质量管理条例》第六十二条第一款,责令改正,处罚款",《建设工程质量管理条例》第六十二条第一款,"截断后缀"",责令改正,处罚款""",建设工程与房地产
《建筑工程建筑面积计算规范》第3.0.18条,《建筑工程建筑面积计算规范》,"截断后缀""第3.0.18条""",建设工程与房地产
《建筑节能工程施工质量验收标准》第4.2.7条,《建筑节能工程施工质量验收标准》,"截断后缀""第4.2.7条""",建设工程与房地产
《建筑工程施工许可管理办法》第十二条规定给予7100元罚款,《建筑工程施工许可管理办法》第十二条,"截断后缀""规定给予7100元罚款""",建设工程与房地产
"《建筑工程安全生产管理条例》第十四条第二款,",《建筑工程安全生产管理条例》第十四条第二款,"截断后缀"",""",建设工程与房地产
《建筑工程安全生产管理条例》第五十七条第(二)项“违反本条,《建筑工程安全生产管理条例》第五十七条第(二)项,"截断后缀""“违反本条""",建设工程与房地产
《建筑工程安全生产管理条例》第五十七条第(二)项“违反本条,《建筑工程安全生产管理条例》第五十七条第(二)项,"截断后缀""“违反本条""",建设工程与房地产
《通风与空调工程施工质量验收规范》第6.2.2条,《通风与空调工程施工质量验收规范》,"截断后缀""第6.2.2条""",建设工程与房地产
《广东省建设工程质量管理条例》第四十九条第三项:“违反本条,《广东省建设工程质量管理条例》第四十九条第三项,"截断后缀"":“违反本条""",建设工程与房地产
"《山东省房屋建筑和市政工程质量监督管理办法》第五十条之规定,拟对青岛华鹏工程咨询集团有限公司处罚款",《山东省房屋建筑和市政工程质量监督管理办法》第五十条之规定,"截断后缀"",拟对青岛华鹏工程咨询集团有限公司处罚款""",建设工程与房地产
《城市房地产开发经营管理条例》第十八条“住宅小区等群体房地产开发项,《城市房地产开发经营管理条例》第十八条,"截断后缀""“住宅小区等群体房地产开发项""",建设工程与房地产
《建筑工程施工发包与承包违法行为认定查处管理办法》第八条(三)“施工总承包单位或专业承包单位未派驻项,《建筑工程施工发包与承包违法行为认定查处管理办法》第八条(三),"截断后缀""“施工总承包单位或专业承包单位未派驻项""",建设工程与房地产
《建筑工程施工发包与承包违法行为认定查处管理办法》第八条第(三)项、,《建筑工程施工发包与承包违法行为认定查处管理办法》第八条第(三)项,"截断后缀""、""",建设工程与房地产
《建筑工程施工许可管理办法》第12条规定“违反本条,《建筑工程施工许可管理办法》第12条,"截断后缀""规定“违反本条""",建设工程与房地产
《山东省建筑市场管理条例》第五十条(一)给予警告,《山东省建筑市场管理条例》第五十条(一),"截断后缀""给予警告""",建设工程与房地产
《建筑工程施工许可管理办法》第18号)第十五条:依照本办法规定,《建筑工程施工许可管理办法》第18号)第十五条,"截断后缀"":依照本办法规定""",建设工程与房地产
《建筑工程施工发包与承包违法行为认定查处管理办法》第八、十条,《建筑工程施工发包与承包违法行为认定查处管理办法》,"截断后缀""第八、十条""",建设工程与房地产
《中华人民共和国土地管理法》第四十三、四十四条,《中华人民共和国土地管理法》,"截断后缀""第四十三、四十四条""",房地产/土地
《中华人民共和国土地管理法》第2条、44条、59条,《中华人民共和国土地管理法》第2条,"截断后缀""、44条、59条""",房地产/土地
《中华人民共和国土地管理法》第五十九条、根据,《中华人民共和国土地管理法》第五十九条,"截断后缀""、根据""",房地产/土地
"《中华人民共和国土地管理法》第四十三、四十四条,",《中华人民共和国土地管理法》,"截断后缀""第四十三、四十四条,""",房地产/土地
《中华人民共和国土地管理法》第四十四条第一款、,《中华人民共和国土地管理法》第四十四条第一款,"截断后缀""、""",房地产/土地
《中华人民共和国土地管理法实施条例》第五十七条第一款“依照,《中华人民共和国土地管理法实施条例》第五十七条第一款,"截断后缀""“依照""",房地产/土地
《中华人民共和国土地管理法实施条例》第四十二条“依照,《中华人民共和国土地管理法实施条例》第四十二条,"截断后缀""“依照""",房地产/土地
《中华人民共和国土地管理法实施条例》第四十二条关于“依照,《中华人民共和国土地管理法实施条例》第四十二条,"截断后缀""关于“依照""",房地产/土地
《中华人民共和国土地管理法实施条例》第四十二条规定和,《中华人民共和国土地管理法实施条例》第四十二条,"截断后缀""规定和""",房地产/土地
《中华人民共和国土地管理法实施条例》第四十二条：“依据,《中华人民共和国土地管理法实施条例》第四十二条,"截断后缀""：“依据""",房地产/土地
《中华人民共和国土地管理法实施条例》第四十二条：“依照,《中华人民共和国土地管理法实施条例》第四十二条,"截断后缀""：“依照""",房地产/土地
《中华人民共和国土地管理法》第四十三条、,《中华人民共和国土地管理法》第四十三条,"截断后缀""、""",房地产/土地
《中华人民共和国土地管理法》第四十三条、四十四条,《中华人民共和国土地管理法》第四十三条,"截断后缀""、四十四条""",房地产/土地
《中华人民共和国土地管理法》第四十三条和,《中华人民共和国土地管理法》第四十三条,"截断后缀""和""",房地产/土地
《中华人民共和国土地管理法》第四十三条和四十四条,《中华人民共和国土地管理法》第四十三条,"截断后缀""和四十四条""",房地产/土地
《中华人民共和国土地管理法》第四十四条与,《中华人民共和国土地管理法》第四十四条,"截断后缀""与""",房地产/土地
《中华人民共和国土地管理法》第二条第三款等条款,《中华人民共和国土地管理法》第二条第三款,"截断后缀""等条款""",房地产/土地
《中华人民共和国土地管理法》第七十六条、,《中华人民共和国土地管理法》第七十六条,"截断后缀""、""",房地产/土地
《中华人民共和国土地管理法》第七十六条和,《中华人民共和国土地管理法》第七十六条,"截断后缀""和""",房地产/土地
《中华人民共和国土地管理法》第七十六条的规定、,《中华人民共和国土地管理法》第七十六条的规定,"截断后缀""、""",房地产/土地
《中华人民共和国土地管理法》第七十六条第一款、,《中华人民共和国土地管理法》第七十六条第一款,"截断后缀""、""",房地产/土地
《中华人民共和国土地管理法》第七十六条第一款及,《中华人民共和国土地管理法》第七十六条第一款,"截断后缀""及""",房地产/土地
《中华人民共和国土地管理法》第七十六条第一款和,《中华人民共和国土地管理法》第七十六条第一款,"截断后缀""和""",房地产/土地
《土地管理法》第七十六条的规定处以罚款,《土地管理法》第七十六条的规定,"截断后缀""处以罚款""",房地产/土地
《土地管理法》第七十六条的规定处以罚款的,《土地管理法》第七十六条的规定,"截断后缀""处以罚款的""",房地产/土地
《中华人民共和国土地管理法》第七十六条第一款的规定和,《中华人民共和国土地管理法》第七十六条第一款的规定,"截断后缀""和""",房地产/土地
《中华人民共和国土地管理法》第七十四条、七十六条,《中华人民共和国土地管理法》第七十四条,"截断后缀""、七十六条""",房地产/土地
《中华人民共和国土地管理法》第七十四条、七十六条和,《中华人民共和国土地管理法》第七十四条,"截断后缀""、七十六条和""",房地产/土地
《中华人民共和国土地管理法》第七十四条（与2019年8月修改前的,《中华人民共和国土地管理法》第七十四条,"截断后缀""（与2019年8月修改前的""",房地产/土地
《中华人民共和国土地管理法》第三十六条、四十三条、四十四条,《中华人民共和国土地管理法》第三十六条,"截断后缀""、四十三条、四十四条""",房地产/土地
《土地管理法》第二条第三款、第四十四条、五十三条,《土地管理法》第二条第三款、第四十四条,"截断后缀""、五十三条""",房地产/土地
《中华人民共和国土地管理法》第43.44条,《中华人民共和国土地管理法》,"截断后缀""第43.44条""",房地产/土地
《中华人民共和国土地管理法》第43.44条和,《中华人民共和国土地管理法》,"截断后缀""第43.44条和""",房地产/土地
《中华人民共和国土地管理法》第43.44条和、,《中华人民共和国土地管理法》,"截断后缀""第43.44条和、""",房地产/土地
《中华人民共和国土地管理法》第43、44条,《中华人民共和国土地管理法》,"截断后缀""第43、44条""",房地产/土地
《中华人民共和国土地管理法》第76条和,《中华人民共和国土地管理法》第76条,"截断后缀""和""",房地产/土地
《中华人民共和国土地管理法》第77条、,《中华人民共和国土地管理法》第77条,"截断后缀""、""",房地产/土地
《中华人民共和国土地管理法》第七十七、,《中华人民共和国土地管理法》,"截断后缀""第七十七、""",房地产/土地
《中华人民共和国土地管理法》第七十七条、,《中华人民共和国土地管理法》第七十七条,"截断后缀""、""",房地产/土地
《土地管理法》第七十七条的规定处以罚款,《土地管理法》第七十七条的规定,"截断后缀""处以罚款""",房地产/土地
《中华人民共和国土地管理法》第七十七条和,《中华人民共和国土地管理法》第七十七条,"截断后缀""和""",房地产/土地
《中华人民共和国土地管理法》第七十七条第一款、,《中华人民共和国土地管理法》第七十七条第一款,"截断后缀""、""",房地产/土地
《中华人民共和国土地管理法》第七十七条第一款及,《中华人民共和国土地管理法》第七十七条第一款,"截断后缀""及""",房地产/土地
